,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
32,frozenset({'Apples Royal Gala'}),frozenset({'Banana Cavendish'}),0.024014947518821782,0.20284112765840523,0.009336703852283343,0.3887871853546911,1.916707868087918,0.004465484816908112,1.3042247368524034
33,frozenset({'Banana Cavendish'}),frozenset({'Apples Royal Gala'}),0.20284112765840523,0.024014947518821782,0.009336703852283343,0.04602963886104413,1.9167078680879177,0.004465484816908112,1.0230769133287734
34,frozenset({'Field Tomatoes'}),frozenset({'Apples Royal Gala'}),0.06430180799032807,0.024014947518821782,0.0023300544045721824,0.036236219126570386,1.5089026989615593,0.0007858498603190987,1.0126807749474387
35,frozenset({'Apples Royal Gala'}),frozenset({'Field Tomatoes'}),0.024014947518821782,0.06430180799032807,0.0023300544045721824,0.09702517162471397,1.508902698961559,0.0007858498603190987,1.036239508130326
36,frozenset({'Mandarin Imperial'}),frozenset({'Apples Royal Gala'}),0.04346320822113535,0.024014947518821782,0.002692751552453701,0.061954735111897835,2.5798405373711786,0.0016489848880235122,1.0404455829725892
37,frozenset({'Apples Royal Gala'}),frozenset({'Mandarin Imperial'}),0.024014947518821782,0.04346320822113535,0.002692751552453701,0.11212814645308924,2.5798405373711786,0.0016489848880235122,1.0773365412560925
38,frozenset({'Apples Royal Gala'}),frozenset({'Pear Packham'}),0.024014947518821782,0.03493432983458812,0.002797164367752926,0.11647597254004577,3.3341407461242927,0.0019582182701700823,1.0922913697546879
39,frozenset({'Pear Packham'}),frozenset({'Apples Royal Gala'}),0.03493432983458812,0.024014947518821782,0.002797164367752926,0.08006921503854018,3.3341407461242927,0.0019582182701700823,1.0609331358794203
40,frozenset({'Avocado Hass Large'}),frozenset({'Banana Cavendish'}),0.011249106995658625,0.20284112765840523,0.0031378798703082925,0.2789447972642892,1.3751885551240202,0.0008560983221588422,1.105544858863987
41,frozenset({'Banana Cavendish'}),frozenset({'Avocado Hass Large'}),0.20284112765840523,0.011249106995658625,0.0031378798703082925,0.015469643195795291,1.3751885551240202,0.0008560983221588422,1.0042868522752681
42,frozenset({'Banana Cavendish'}),frozenset({'Avocado Hass Medium'}),0.20284112765840523,0.01717316041105677,0.005418475572896631,0.02671290401235404,1.5555030858009806,0.0019350523496591944,1.0098015720547664
43,frozenset({'Avocado Hass Medium'}),frozenset({'Banana Cavendish'}),0.01717316041105677,0.20284112765840523,0.005418475572896631,0.31551999999999997,1.5555030858009806,0.0019350523496591944,1.1646196709057894
44,frozenset({'Berries Strawberry (large)'}),frozenset({'Banana Cavendish'}),0.010864428202450954,0.20284112765840523,0.003511567840852888,0.3232169954476479,1.5934490168678306,0.0013078149729039558,1.177864791195316
45,frozenset({'Banana Cavendish'}),frozenset({'Berries Strawberry (large)'}),0.20284112765840523,0.010864428202450954,0.003511567840852888,0.017311912438026607,1.5934490168678308,0.0013078149729039558,1.0065610688856235
46,frozenset({'Berries Strawberry (medium)'}),frozenset({'Banana Cavendish'}),0.023619277902951034,0.20284112765840523,0.00860031873385723,0.3641228478362029,1.7951135060213443,0.0038093577695453885,1.253636602021286
47,frozenset({'Banana Cavendish'}),frozenset({'Berries Strawberry (medium)'}),0.20284112765840523,0.023619277902951034,0.00860031873385723,0.0423992847660589,1.7951135060213443,0.0038093577695453885,1.0196115213411467
48,frozenset({'Broccoli'}),frozenset({'Banana Cavendish'}),0.01786008682749904,0.20284112765840523,0.005088750893004341,0.2849230769230769,1.4046612746252418,0.001465990740837407,1.1147875796515416
49,frozenset({'Banana Cavendish'}),frozenset({'Broccoli'}),0.20284112765840523,0.01786008682749904,0.005088750893004341,0.025087372328032292,1.4046612746252418,0.001465990740837407,1.0074132648356309
50,frozenset({'Capsicum red'}),frozenset({'Banana Cavendish'}),0.013381326592295434,0.20284112765840523,0.003319228444249052,0.24804928131416837,1.222874691033546,0.0006049450687024413,1.0601211655662388
51,frozenset({'Banana Cavendish'}),frozenset({'Capsicum red'}),0.20284112765840523,0.013381326592295434,0.003319228444249052,0.016363685622172254,1.2228746910335462,0.0006049450687024413,1.0030319732875694
52,frozenset({'Carrots'}),frozenset({'Banana Cavendish'}),0.013112051437050062,0.20284112765840523,0.0038632741660713306,0.2946353730092205,1.452542570683207,0.0012036108666650834,1.1301372961420353
53,frozenset({'Banana Cavendish'}),frozenset({'Carrots'}),0.20284112765840523,0.013112051437050062,0.0038632741660713306,0.019045812901303135,1.452542570683207,0.0012036108666650834,1.0060489689959966
54,frozenset({'Carrots 1kg'}),frozenset({'Banana Cavendish'}),0.0375666318623949,0.20284112765840523,0.011908556355443205,0.31699824458747805,1.5627907823571126,0.004288498386146847,1.167140297992534
55,frozenset({'Banana Cavendish'}),frozenset({'Carrots 1kg'}),0.20284112765840523,0.0375666318623949,0.011908556355443205,0.05870878599875376,1.5627907823571126,0.004288498386146847,1.0224608004641704
56,frozenset({'Cauliflower'}),frozenset({'Banana Cavendish'}),0.02663076331263395,0.20284112765840523,0.007402319063581909,0.2779612051176228,1.3703394786175889,0.0020005050028431507,1.1040388383444895
57,frozenset({'Banana Cavendish'}),frozenset({'Cauliflower'}),0.20284112765840523,0.02663076331263395,0.007402319063581909,0.036493186313023215,1.3703394786175886,0.0020005050028431507,1.0102359660152787
58,frozenset({'Cauliflower half'}),frozenset({'Banana Cavendish'}),0.012518547013243942,0.20284112765840523,0.0032422926856075177,0.2589991220368744,1.2768570409105697,0.0007030164927963557,1.0757866772477207
59,frozenset({'Banana Cavendish'}),frozenset({'Cauliflower half'}),0.20284112765840523,0.012518547013243942,0.0032422926856075177,0.015984394895830513,1.27685704091057,0.0007030164927963557,1.0035221472755198
60,frozenset({'Celery'}),frozenset({'Banana Cavendish'}),0.025861405726218607,0.20284112765840523,0.006011979996702753,0.23246918827029325,1.146065351508907,0.0007662232963650331,1.0386017866111699
61,frozenset({'Banana Cavendish'}),frozenset({'Celery'}),0.20284112765840523,0.025861405726218607,0.006011979996702753,0.029638861044133186,1.146065351508907,0.0007662232963650331,1.003892834498689
62,frozenset({'Celery half'}),frozenset({'Banana Cavendish'}),0.017151178765730614,0.20284112765840523,0.004297411661262846,0.25056071771867994,1.2352559888181893,0.0008184472197511534,1.0636737240607599
63,frozenset({'Banana Cavendish'}),frozenset({'Celery half'}),0.20284112765840523,0.017151178765730614,0.004297411661262846,0.021186096285660105,1.2352559888181895,0.0008184472197511534,1.0041222519465836
64,frozenset({'Crimson Grapes'}),frozenset({'Banana Cavendish'}),0.01890421498049129,0.20284112765840523,0.00566027367148431,0.29941860465116277,1.4761237432844434,0.0018257213873445399,1.1378533281556373
65,frozenset({'Banana Cavendish'}),frozenset({'Crimson Grapes'}),0.20284112765840523,0.01890421498049129,0.00566027367148431,0.027904960580856654,1.4761237432844432,0.0018257213873445399,1.0092591210070814
66,frozenset({'Cucumber Lebanese'}),frozenset({'Banana Cavendish'}),0.01860196735725669,0.20284112765840523,0.00509424630433588,0.2738552437223043,1.3500972257632606,0.0013210022689250883,1.0977960874191612
67,frozenset({'Banana Cavendish'}),frozenset({'Cucumber Lebanese'}),0.20284112765840523,0.01860196735725669,0.00509424630433588,0.02511446452277099,1.3500972257632606,0.0013210022689250883,1.0066802685325782
68,frozenset({'Cucumber continental'}),frozenset({'Banana Cavendish'}),0.04525471231521679,0.20284112765840523,0.012694400175853163,0.28051001821493626,1.382905042252227,0.0035148832979778714,1.1079499263684445
69,frozenset({'Banana Cavendish'}),frozenset({'Cucumber continental'}),0.20284112765840523,0.04525471231521679,0.012694400175853163,0.06258296984638725,1.3829050422522269,0.0035148832979778714,1.018485110653826
70,frozenset({'Banana Cavendish'}),frozenset({'Egg freerang 700'}),0.20284112765840523,0.007957355608067264,0.0020992471286475794,0.01034921839018179,1.3005851315341024,0.00048516814392828077,1.0024168755550555
71,frozenset({'Egg freerang 700'}),frozenset({'Banana Cavendish'}),0.007957355608067264,0.20284112765840523,0.0020992471286475794,0.2638121546961326,1.3005851315341024,0.00048516814392828077,1.082819931661003
72,frozenset({'Eggplant'}),frozenset({'Banana Cavendish'}),0.022932351486508764,0.20284112765840523,0.005132714183656646,0.22381979391325185,1.1034241255559167,0.0004810901482743034,1.0270280871508104
73,frozenset({'Banana Cavendish'}),frozenset({'Eggplant'}),0.20284112765840523,0.022932351486508764,0.005132714183656646,0.02530410988594186,1.1034241255559167,0.0004810901482743034,1.0024333316919554
74,frozenset({'Eggs 700g'}),frozenset({'Banana Cavendish'}),0.034252898829477386,0.20284112765840523,0.008039786778040337,0.23471843414086319,1.157154058698298,0.0010918901538998754,1.0416543503784403
75,frozenset({'Banana Cavendish'}),frozenset({'Eggs 700g'}),0.20284112765840523,0.034252898829477386,0.008039786778040337,0.03963588090271193,1.1571540586982978,0.0010918901538998754,1.005605147012671
76,frozenset({'Field Tomatoes'}),frozenset({'Banana Cavendish'}),0.06430180799032807,0.20284112765840523,0.017535857558938286,0.2727117340398257,1.344459761134271,0.004492806315705889,1.0960700311714455
